offsetNano,x,y,z
1948982777,2.0446472,-5.08049,8.415619
1954018177,2.1595764,-5.0900726,8.367737
1959084095,2.2433624,-5.068527,8.204926
1964119496,2.2816772,-5.0421906,8.078033
1969154896,2.2984314,-5.032608,8.070862
1974190296,2.2649078,-5.1642914,8.154648
1979256214,2.2170258,-5.41568,8.044525
1984291615,2.1571808,-5.612015,7.965515
1989327015,2.1092987,-5.5641174,8.070862
1994362416,2.0254974,-5.470749,8.133102
1999397816,1.901001,-5.4324493,8.111557
2004463734,1.8004456,-5.444412,8.001419
2009499134,1.7022705,-5.281616,8.061279
2014534535,1.7022705,-4.8913574,7.86734
2019569935,1.8411407,-4.4101257,7.7428436
2024605336,2.027893,-4.0342255,7.4220276
2029671253,2.1404114,-3.8259277,7.11557
2034706654,2.2050629,-3.6846771,7.0174103
2039742054,2.2481537,-3.564972,7.012619
2044777455,2.308014,-3.5386353,6.8641815
2049812855,2.3223724,-3.799591,6.4571686
2054878773,2.2098541,-4.32872,6.30632
2059914173,2.0973206,-4.910507,6.684616
2064949574,2.1452026,-5.2720337,7.2879486
2069984974,2.185913,-5.463562,7.6901703
2075020375,2.149994,-5.530609,8.178589
2080086293,2.1787262,-5.2959747,8.729263
2085121693,2.3606873,-5.307953,8.8489685
2090157093,2.2601318,-5.3821716,12.480972
2095192494,2.889801,-2.604889,9.442734
2100227894,3.1196442,-1.4724274,5.2002106
2105293812,2.937683,-0.65600586,6.4044952
2110329212,3.4596252,-0.7805023,10.1059265
2115364613,5.5473633,-1.371872,13.352463
2120400013,7.6782074,-2.1140747,15.835251
2125435414,8.841782,-3.5529938,16.359589
2130501332,8.801086,-5.185837,16.338028
2135536732,7.754822,-6.7492523,16.414642
2140572132,6.1722565,-7.9248047,15.39711
2145607533,4.481949,-8.441956,13.845673
2150673451,2.956833,-8.192963,12.665329
2155708851,1.7453766,-7.3932953,11.820175
2160744252,0.8666992,-6.430832,10.797852
2165779652,0.21548462,-5.293579,9.442734
2170815052,-0.28012085,-3.7636871,8.188171
2175880970,-0.533905,-2.3726501,7.0509186
2180916371,-0.27772522,-1.3239899,5.9591675
2185951771,0.37828064,-0.7661438,5.341461
2190987171,1.0845795,-1.1132965,5.264847
2196022572,1.6136932,-2.387024,5.645523
2201057972,2.0254974,-3.9384613,6.3949127
2206123890,2.355896,-5.262451,7.2280884
2211159291,2.6455994,-6.2871704,7.6853943
2216194691,2.7269897,-7.1754303,7.7428436
2221230091,2.573761,-7.771576,7.759613
2226265492,2.3726501,-7.8529816,7.7069397
2231331410,2.1643524,-7.3932953,7.618347
2236366810,1.9728241,-6.679825,7.412445
